Abbreviation,Team,Conference,Division,Wins,Losses,latitude,longitude,QB,Stadium,Coach
ARI,Arizona Cardinals,NFC,West,4,13,33.5277,-112.262608,Kyler Murray,State Farm Stadium,Jonathan Gannon
ARI,Arizona Cardinals,NFC,West,4,13,33.5277,-112.262608,Joshua Dobbs (Cardinals QB),State Farm Stadium,Jonathan Gannon
ARI,Arizona Cardinals,NFC,West,4,13,33.5277,-112.262608,Clayton Tune,State Farm Stadium,Jonathan Gannon

ATL,Atlanta Falcons,NFC,South,7,10,33.757614,-84.400972,Desmond Ridder,Mercedes-Benz Stadium,Raheem Morris
ATL,Atlanta Falcons,NFC,South,7,10,33.757614,-84.400972,Taylor Heinicke,Mercedes-Benz Stadium,Raheem Morris

BAL,Baltimore Ravens,AFC,North,13,4,39.277969,-76.622767,Lamar Jackson,M&T Bank Stadium,John Harbaugh
BAL,Baltimore Ravens,AFC,North,13,4,39.277969,-76.622767,Tyler Huntley,M&T Bank Stadium,John Harbaugh

BUF,Buffalo Bills,AFC,East,11,6,42.773739,-78.786978,Josh Allen,Highmark Stadium,Sean McDermott

CAR,Carolina Panthers,NFC,South,2,15,35.225808,-80.852861,Andy Dalton,Bank of America Stadium,Dave Canales
CAR,Carolina Panthers,NFC,South,2,15,35.225808,-80.852861,Bryce Young,Bank of America Stadium,Dave Canales

CHI,Chicago Bears,NFC,North,7,10,41.862306,-87.616672,Justin Fields,Soldier Field,Matt Eberflus
CHI,Chicago Bears,NFC,North,7,10,41.862306,-87.616672,Tyson Bagent,Soldier Field,Matt Eberflus

CIN,Cincinnati Bengals,AFC,North,9,8,39.095442,-84.516039,Joe Burrow,Paycor Stadium,Zac Taylor	
CIN,Cincinnati Bengals,AFC,North,9,8,39.095442,-84.516039,Jake Browning,Paycor Stadium,Zac Taylor	

CLE,Cleveland Browns,AFC,North,11,6,41.506022,-81.699564,Deshaun Watson,Cleveland Browns Stadium,Kevin Stefanski
CLE,Cleveland Browns,AFC,North,11,6,41.506022,-81.699564,Dorian Thompson-Robinson,Cleveland Browns Stadium,Kevin Stefanski
CLE,Cleveland Browns,AFC,North,11,6,41.506022,-81.699564,PJ Walker,Cleveland Browns Stadium,Kevin Stefanski
CLE,Cleveland Browns,AFC,North,11,6,41.506022,-81.699564,Joe Flacco,Cleveland Browns Stadium,Kevin Stefanski
CLE,Cleveland Browns,AFC,North,11,6,41.506022,-81.699564,Jeff Driskel,Cleveland Browns Stadium,Kevin Stefanski

DAL,Dallas Cowboys,NFC,East,12,5,32.747778,-97.092778,Dak Prescott,AT&T Stadium,Mike McCarthy

DEN,Denver Broncos,AFC,West,8,9,39.743936,-105.020097,Russell Wilson,Empower Field at Mile High,Sean Payton
DEN,Denver Broncos,AFC,West,8,9,39.743936,-105.020097,Jarrett Stidham,Empower Field at Mile High,Sean Payton

